"time","hemisphere","extent","area"
1983-07-01,"north",10570000000000,6860000000000
1984-07-01,"north",9980000000000,6300000000000
1985-07-01,"north",9740000000000,5990000000000
1986-07-01,"north",10150000000000,6620000000000
1987-07-01,"north",10330000000000,6550000000000
1988-07-01,"north",9810000000000,7010000000000
1989-07-01,"north",10130000000000,7330000000000
1990-07-01,"north",9250000000000,6520000000000
1991-07-01,"north",9510000000000,6760000000000
1992-07-01,"north",10320000000000,7220000000000
1993-07-01,"north",9480000000000,6280000000000
1994-07-01,"north",9930000000000,6920000000000
1995-07-01,"north",8990000000000,6160000000000
1996-07-01,"north",10160000000000,7440000000000
1997-07-01,"north",9410000000000,6500000000000
1998-07-01,"north",9420000000000,6450000000000
1999-07-01,"north",9490000000000,6550000000000
2000-07-01,"north",9510000000000,6390000000000
2001-07-01,"north",9070000000000,6290000000000
2002-07-01,"north",9270000000000,6440000000000
2003-07-01,"north",9210000000000,6150000000000
2004-07-01,"north",9430000000000,6510000000000
2005-07-01,"north",8650000000000,5900000000000
2006-07-01,"north",8460000000000,5790000000000
2007-07-01,"north",7940000000000,5130000000000
2008-07-01,"north",8680000000000,6060000000000
2009-07-01,"north",8470000000000,6120000000000
2010-07-01,"north",8070000000000,5570000000000
2011-07-01,"north",7720000000000,5400000000000
2012-07-01,"north",7670000000000,5090000000000
2013-07-01,"north",8130000000000,5810000000000
2014-07-01,"north",8110000000000,5960000000000
2015-07-01,"north",8380000000000,5660000000000
2016-07-01,"north",7940000000000,5370000000000
2017-07-01,"north",7940000000000,5650000000000
2018-07-01,"north",8270000000000,5760000000000
2019-07-01,"north",7590000000000,5130000000000
2020-07-01,"north",7290000000000,5070000000000
2021-07-01,"north",7650000000000,5530000000000
2022-07-01,"north",8290000000000,5890000000000
2023-07-01,"north",8210000000000,5540000000000
2024-07-01,"north",7870000000000,5160000000000
2025-07-01,"north",7660000000000,5170000000000
1979-08-01,"north",8040000000000,5060000000000
1980-08-01,"north",7980000000000,4940000000000
1981-08-01,"north",7840000000000,4480000000000
1982-08-01,"north",8140000000000,5000000000000
1983-08-01,"north",8190000000000,4970000000000
1984-08-01,"north",7770000000000,4680000000000
1985-08-01,"north",7400000000000,4600000000000
1986-08-01,"north",7980000000000,5010000000000
1987-08-01,"north",7630000000000,-9999000000000000
1988-08-01,"north",7890000000000,5420000000000
1989-08-01,"north",7880000000000,5560000000000
1990-08-01,"north",6800000000000,4990000000000
1991-08-01,"north",7420000000000,5210000000000
1992-08-01,"north",7930000000000,5440000000000
1993-08-01,"north",7330000000000,4760000000000
1994-08-01,"north",7640000000000,5190000000000
1995-08-01,"north",6740000000000,4690000000000
1996-08-01,"north",8180000000000,5730000000000
1997-08-01,"north",7290000000000,5090000000000
1998-08-01,"north",7510000000000,4690000000000
1999-08-01,"north",7230000000000,4750000000000
2000-08-01,"north",7170000000000,4780000000000
2001-08-01,"north",7460000000000,4940000000000
2002-08-01,"north",6600000000000,4320000000000
2003-08-01,"north",6940000000000,4520000000000
2004-08-01,"north",6850000000000,4670000000000
2005-08-01,"north",6300000000000,4210000000000
2006-08-01,"north",6500000000000,4310000000000
2007-08-01,"north",5340000000000,3190000000000
2008-08-01,"north",5910000000000,3790000000000
2009-08-01,"north",6140000000000,4160000000000
2010-08-01,"north",5870000000000,3880000000000
2011-08-01,"north",5500000000000,3380000000000
2012-08-01,"north",4720000000000,2930000000000
2013-08-01,"north",6010000000000,4170000000000
2014-08-01,"north",6080000000000,4370000000000
2015-08-01,"north",5600000000000,3630000000000
2016-08-01,"north",5370000000000,3310000000000
2017-08-01,"north",5480000000000,3640000000000
2018-08-01,"north",5610000000000,3900000000000
2019-08-01,"north",5030000000000,3240000000000
2020-08-01,"north",5070000000000,3100000000000
2021-08-01,"north",5710000000000,3780000000000
2022-08-01,"north",5950000000000,4030000000000
2023-08-01,"north",5510000000000,3520000000000
2024-08-01,"north",5130000000000,3090000000000
2025-08-01,"north",5390000000000,3330000000000
1979-09-01,"north",7050000000000,4580000000000
1980-09-01,"north",7670000000000,4870000000000
1981-09-01,"north",7140000000000,4440000000000
1982-09-01,"north",7300000000000,4430000000000
1983-09-01,"north",7390000000000,4700000000000
1984-09-01,"north",6810000000000,4110000000000
1985-09-01,"north",6700000000000,4230000000000
1986-09-01,"north",7410000000000,4720000000000
1987-09-01,"north",7280000000000,5640000000000
1988-09-01,"north",7370000000000,5360000000000
1989-09-01,"north",7010000000000,4860000000000
1990-09-01,"north",6140000000000,4550000000000
1991-09-01,"north",6470000000000,4510000000000
1992-09-01,"north",7470000000000,5430000000000
1993-09-01,"north",6400000000000,4580000000000
1994-09-01,"north",7140000000000,5130000000000
1995-09-01,"north",6080000000000,4430000000000
1996-09-01,"north",7580000000000,5620000000000
1997-09-01,"north",6690000000000,4890000000000
1998-09-01,"north",6540000000000,4300000000000
1999-09-01,"north",6120000000000,4290000000000
2000-09-01,"north",6250000000000,4350000000000
2001-09-01,"north",6730000000000,4590000000000
2002-09-01,"north",5830000000000,4030000000000
2003-09-01,"north",6120000000000,4050000000000
2004-09-01,"north",5980000000000,4390000000000
2005-09-01,"north",5500000000000,4070000000000
2006-09-01,"north",5860000000000,4010000000000
2007-09-01,"north",4270000000000,2820000000000
2008-09-01,"north",4690000000000,3260000000000
2009-09-01,"north",5260000000000,3760000000000
2010-09-01,"north",4870000000000,3340000000000
2011-09-01,"north",4560000000000,3210000000000
2012-09-01,"north",3570000000000,2410000000000
2013-09-01,"north",5210000000000,3780000000000
2014-09-01,"north",5220000000000,3740000000000
2015-09-01,"north",4620000000000,3420000000000
2016-09-01,"north",4530000000000,2910000000000
2017-09-01,"north",4820000000000,3350000000000
2018-09-01,"north",4790000000000,3350000000000
2019-09-01,"north",4360000000000,3170000000000
2020-09-01,"north",4000000000000,2830000000000
2021-09-01,"north",4950000000000,3470000000000
2022-09-01,"north",4900000000000,3470000000000
2023-09-01,"north",4380000000000,2830000000000
2024-09-01,"north",4350000000000,2910000000000
2025-09-01,"north",4750000000000,3080000000000
1979-10-01,"north",8750000000000,6190000000000
1980-10-01,"north",9180000000000,6500000000000
1981-10-01,"north",8860000000000,6270000000000
1982-10-01,"north",9420000000000,6670000000000
1983-10-01,"north",9330000000000,6790000000000
1984-10-01,"north",8560000000000,5910000000000
1985-10-01,"north",8550000000000,6120000000000
1986-10-01,"north",9480000000000,6830000000000
1987-10-01,"north",9050000000000,7490000000000
1988-10-01,"north",9130000000000,7520000000000
1989-10-01,"north",8830000000000,6960000000000
1990-10-01,"north",8480000000000,6740000000000
1991-10-01,"north",8540000000000,6750000000000
1992-10-01,"north",9320000000000,7740000000000
1993-10-01,"north",8790000000000,7060000000000
1994-10-01,"north",8920000000000,7230000000000
1995-10-01,"north",7830000000000,5990000000000
1996-10-01,"north",9160000000000,7540000000000
1997-10-01,"north",8340000000000,6470000000000
1998-10-01,"north",8450000000000,6710000000000
1999-10-01,"north",8600000000000,6830000000000
2000-10-01,"north",8380000000000,6690000000000
2001-10-01,"north",8300000000000,6650000000000
2002-10-01,"north",8160000000000,6240000000000
2003-10-01,"north",7850000000000,5980000000000
2004-10-01,"north",7930000000000,6400000000000
2005-10-01,"north",7350000000000,5780000000000
2006-10-01,"north",7540000000000,5800000000000
2007-10-01,"north",6040000000000,4330000000000
2008-10-01,"north",7350000000000,5770000000000
2009-10-01,"north",6920000000000,5240000000000
2010-10-01,"north",6980000000000,5480000000000
2011-10-01,"north",6460000000000,5020000000000
2012-10-01,"north",5890000000000,4580000000000
2013-10-01,"north",7450000000000,5950000000000
2014-10-01,"north",7230000000000,5700000000000
2015-10-01,"north",6970000000000,5490000000000
2016-10-01,"north",6080000000000,4400000000000
2017-10-01,"north",6770000000000,5300000000000
2018-10-01,"north",6130000000000,4590000000000
2019-10-01,"north",5730000000000,4530000000000
2020-10-01,"north",5330000000000,4110000000000
2021-10-01,"north",6820000000000,5430000000000
2022-10-01,"north",6660000000000,5250000000000
2023-10-01,"north",6410000000000,4880000000000
2024-10-01,"north",5930000000000,4540000000000
2025-10-01,"north",6320000000000,4690000000000
1978-11-01,"north",11650000000000,9040000000000
1979-11-01,"north",10940000000000,8370000000000
1980-11-01,"north",11380000000000,8730000000000
1981-11-01,"north",10930000000000,8310000000000
1982-11-01,"north",11630000000000,9060000000000
1983-11-01,"north",11460000000000,8990000000000
1984-11-01,"north",10840000000000,8240000000000
1985-11-01,"north",11020000000000,8420000000000
1986-11-01,"north",11450000000000,8870000000000
