,YEAR,bay,bay_lag1,Uga,Uga_lag1,Ege,Ege_lag1,Kvi,Kvi_lag1,Nush,Nush_lag1,Tog,Tog_lag1
20,1982,188.4885189,186.8750454,195.0845771,191.469086,189.1013072,185.5973783,188.6994632,186.1432122,186.424682,187.0826965,197.8870968,197.5609756
21,1983,186.1532769,188.4885189,192.1287215,195.0845771,185.1298851,189.1013072,185.5923558,188.6994632,185.7571371,186.424682,196.7111111,197.8870968
22,1984,189.381647,186.1532769,196.2673358,192.1287215,189.1262626,185.1298851,188.7398027,185.5923558,188.485,185.7571371,194.515625,196.7111111
23,1985,187.8324737,189.381647,189.7842024,196.2673358,185.0558559,189.1262626,187.7510391,188.7398027,187.720255,188.485,194.5895761,194.515625
24,1986,191.0421828,187.8324737,192.3537856,189.7842024,188.6129694,185.0558559,190.7835045,187.7510391,192.3257405,187.720255,196.8379748,194.5895761
25,1987,190.2731367,191.0421828,195.0961366,192.3537856,185.619995,188.6129694,191.3754984,190.7835045,188.6504879,192.3257405,196.5862676,196.8379748
26,1988,188.63237,190.2731367,195.7874552,195.0961366,184.9996915,185.619995,187.8722246,191.3754984,190.5167882,188.6504879,195.3098201,196.5862676
27,1989,186.435958,188.63237,193.3568761,195.7874552,186.4310161,184.9996915,185.4976646,187.8722246,185.5118582,190.5167882,193.7199792,195.3098201
28,1990,188.8454471,186.435958,193.0420253,193.3568761,187.8696008,186.4310161,188.4450554,185.4976646,188.8758533,185.5118582,195.5500567,193.7199792
29,1991,188.2957219,188.8454471,193.8112434,193.0420253,187.2121463,187.8696008,186.5119311,188.4450554,187.2432894,188.8758533,200.3511493,195.5500567
30,1992,190.4376219,188.2957219,198.0986791,193.8112434,188.2138704,187.2121463,189.3212743,186.5119311,191.8029394,187.2432894,198.7835004,200.3511493
31,1993,184.4797735,190.4376219,190.3554922,198.0986791,183.3030856,188.2138704,184.7986975,189.3212743,184.2029292,191.8029394,194.6254921,198.7835004
32,1994,190.3992474,184.4797735,195.2495943,190.3554922,188.6577615,183.3030856,189.8640821,184.7986975,191.0468951,184.2029292,202.1061513,194.6254921
33,1995,188.2976944,190.3992474,196.4962658,195.2495943,185.9153734,188.6577615,188.6095577,189.8640821,186.8937817,191.0468951,201.1270912,202.1061513
34,1996,186.6334343,188.2976944,188.9333961,196.4962658,183.8997227,185.9153734,186.9593283,188.6095577,188.1408056,186.8937817,198.7563284,201.1270912
35,1997,187.7575385,186.6334343,190.8973735,188.9333961,185.2550991,183.8997227,189.4651746,186.9593283,187.7874065,188.1408056,196.2975596,198.7563284
36,1998,189.7854866,187.7575385,195.2421838,190.8973735,185.5526175,185.2550991,191.5546611,189.4651746,188.4906463,187.7874065,197.1059375,196.2975596
37,1999,187.9983422,189.7854866,193.5841298,195.2421838,185.5402744,185.5526175,187.7256007,191.5546611,187.7546452,188.4906463,201.0478982,197.1059375
38,2000,185.0232349,187.9983422,187.2916722,193.5841298,181.3432809,185.5402744,185.5683141,187.7256007,184.7497867,187.7546452,198.9158845,201.0478982
39,2001,184.5231205,185.0232349,191.9781351,187.2916722,179.7008379,181.3432809,183.7717884,185.5683141,184.5678451,184.7497867,195.5099082,198.9158845
40,2002,184.5207878,184.5231205,193.0875496,191.9781351,183.399213,179.7008379,184.6944721,183.7717884,182.4104407,184.5678451,203.0705277,195.5099082
41,2003,184.3775565,184.5207878,187.0960262,193.0875496,185.4974238,183.399213,185.0073624,184.6944721,181.2963345,182.4104407,196.9374301,203.0705277
42,2004,188.3672498,184.3775565,193.1108247,187.0960262,183.6468494,185.4974238,189.8550577,185.0073624,186.4264451,181.2963345,197.2695762,196.9374301
43,2005,186.8047081,188.3672498,190.6564786,193.1108247,183.8080426,183.6468494,188.6764256,189.8550577,184.2755936,186.4264451,194.1395676,197.2695762
44,2006,189.1548803,186.8047081,193.0098909,190.6564786,188.6348581,183.8080426,191.7642826,188.6764256,185.4600417,184.2755936,200.7348182,194.1395676
